"Value","LIN","CI_L","CI_U","SE","time"
54.2574730129962,1.93903992294541,0.0606762020875289,3.78484306331832,0.946951733000144,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
55.2574730129962,1.88311681100333,0.057257853669666,3.68480142532324,0.923505218919473,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
56.2574730129962,1.82719369906126,0.0423677838094567,3.58475978732816,0.900265100629985,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
57.2574730129962,1.77127058711918,0.0333346384600031,3.47699930270588,0.877247781846391,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
58.2574730129962,1.71534747517711,0.0236872490691144,3.36352605431696,0.854471267001138,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
59.2574730129962,1.65942436323503,0.0143490472710143,3.22856542832658,0.831955328900768,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
60.2574730129962,1.60350125129296,0.0185110795813433,3.13476336791068,0.809721760131979,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
61.2574730129962,1.54757813935088,0.0073262135511098,3.0567964627443,0.787794736341921,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
62.2574730129962,1.49165502740881,-0.0131926544874775,2.97566665899234,0.766200912995072,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
63.2574730129962,1.43573191546674,-0.0226517261333123,2.8829046648829,0.74496945978062,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
64.2574730129962,1.37980880352466,-0.0448776585913614,2.78450121014674,0.724132603399726,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
65.2574730129962,1.32388569158259,-0.0747381598005597,2.68888346275655,0.703726704571448,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
66.2574730129962,1.26796875058796,-0.095198638184718,2.5843568261416,0.683792207621994,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
67.2574730129962,1.21209862053842,-0.109743758548692,2.48375805487412,0.664376077690708,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
68.2574730129962,1.15632790401176,-0.136477212640715,2.38534522435314,0.645531991883216,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
69.2574730129962,1.10070921542597,-0.156717591244048,2.29053064756237,0.627317451364135,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
70.2574730129962,1.04529516919904,-0.17634623986978,2.23310069177994,0.609791870630683,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
71.2574730129962,0.990138379748957,-0.196510756739571,2.15561459884267,0.593015564372607,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
72.2574730129962,0.935291461493712,-0.223054950215847,2.04599005608117,0.577048980152112,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
73.2574730129962,0.880807028851292,-0.250234808367578,1.97515078299622,0.561951985081184,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
74.2574730129962,0.826737696239684,-0.281549678551467,1.88832454291662,0.547782972083284,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
75.2574730129962,0.773136078076877,-0.289268608479768,1.82257697932125,0.534597750769056,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
76.2574730129962,0.720054788780859,-0.338673668201022,1.72867407666381,0.522448264362722,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
77.2574730129962,0.667546442769618,-0.356793157482248,1.64190444324789,0.511381167210941,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
78.2574730129962,0.615663654461144,-0.403091541087548,1.60631032853609,0.501436313799963,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
79.2574730129962,0.564459038273424,-0.43130577025028,1.51999530163612,0.492645231848185,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
80.2574730129962,0.513985208624445,-0.465101796977185,1.4406707080374,0.485029670906934,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
81.2574730129962,0.464294779932197,-0.520115691385196,1.37327235945829,0.478600329960622,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
82.2574730129962,0.415440366614668,-0.546877782884139,1.31793198408395,0.473355868892036,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
83.2574730129962,0.367474583089844,-0.554886408913441,1.25831553636977,0.469282296740926,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
84.2574730129962,0.320450043775717,-0.592562755010744,1.23370961964252,0.466352804100131,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
85.2574730129962,0.274419363090274,-0.625175556901741,1.19906484915992,0.464528070309219,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
86.2574730129962,0.229435155451501,-0.66467748375221,1.15947867752288,0.463757033530288,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
87.2574730129962,0.185550035277389,-0.701711161990639,1.13355955141996,0.4639780701125,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
88.2574730129962,0.142816616985925,-0.733276365458407,1.0899557290271,0.465120495584062,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
89.2574730129962,0.101287514995096,-0.77148051258067,1.04631374222064,0.467106278129141,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
90.2574730129962,0.061015343722894,-0.811826000168629,1.00474620704163,0.469851848662031,"First trimester blood-lead levels (BLLs) and plasma 
total folate concentrations"
